id,translate,translate_description,source
10845,husband,husband,AI
10846,juggler,person who performs tricks for an audience,AI
10847,counterargument,argument against another,AI
10848,opposing candidate,candidate competing with another,AI
10849,cash flow,smooth flow of financial transactions,AI
10850,female scholar,female person with extensive knowledge in a field,AI
10851,joint,movable connection of bones,AI
10852,municipal code,law that defines how municipalities are organized,AI
10853,massacre,simultaneous killing of many people,AI
10854,consulate general,independent consular mission of a sovereign state,AI
10855,general contractor,main contractor for a construction project,AI
10856,nape,back of the neck,AI
10857,cooperative bank,bank that is a cooperative or joint stock company,AI
10858,forensic physician,doctor of forensic medicine,AI
10859,history science,science that researches and teaches human history,AI
10860,journeyman,craftsman who has passed the journeyman exam,AI
10861,board game,game played by two or more people for leisure or pleasure,AI
10862,point of view,way something is viewed,AI
10863,goldsmith,person who works gold into jewelry,AI
10864,deity,supernatural being worshiped by humans,AI
10865,borderland,area at a border,AI
10866,groschen,thick silver coin minted in Germany from 14th to 19th century,AI
10867,crypt,stone chamber where a coffin is buried,AI
10868,share capital,financial base stock for an enterprise,AI
10869,ground plan,vertical projection of an object onto a horizontal plane,AI
10870,principle decision,fundamental decision,AI
10871,half brother,brother sharing only one parent,AI
10872,half board,travel stay with breakfast and one meal per day,AI
10873,dump,man made mound or heap,AI
10874,trading house,company that engages in trade,AI
10875,trading company,business engaged in trade,AI
10876,harmonica,instrument producing tones by air through bellows or breath,AI
10877,main concern,central most important concern,AI
10878,budget policy,policy of budget management,AI
10879,boom,upswing or increase in economic conditions,AI
10880,splendor,something that cannot be more pleasant or great,AI
10881,Parnassia,plant of the genus Parnassia,AI
10882,hunt,chase where game is hunted with dogs,AI
10883,slash,heavy blow with a sharp object,AI
10884,rear part,back part of the body used for sitting,AI
10885,hit parade,ranking of hits by popularity,AI
10886,logging road,road primarily for transporting wood that often ends in a forest,AI
10887,hotel chain,company operating many hotels,AI
10888,company,unit of about one hundred persons,AI
10889,horn,device producing a warning or signal sound,AI
10890,hypnosis,procedure to put someone into a hypnotic state,AI
10891,hysteria,neurotic disorder or neurosis,AI
10892,imagination,ability to vividly imagine something,AI
10893,real estate company,company for real estate,AI
10894,importer,merchant who imports goods from abroad,AI
10895,industrial plant,totality of buildings facilities and machines of an industrial operation,AI
10896,industry minister,minister responsible for industry,AI
10897,industry sector,group of companies producing related goods or services,AI
10898,information flow,flow of information,AI
10899,information source,person or place where one can get information,AI
10900,information office,place or institution where information is obtained,AI
10901,incompetence,lack of skills or competence,AI
10902,inspector,person who checks something thoroughly,AI
10903,inspector,person who inspects,AI
10904,interest representative,representative of interests,AI
10905,intolerance,intolerance toward another opinion or attitude,AI
10906,investment sum,total amount of investments,AI
10907,investment banking,field of investment banking,AI
10908,jacket,short close fitting mens jacket,AI
10909,yearbook,annual book of an institution with events and contributions,AI
10910,midyear,middle part of a year,AI
10911,annual program,program for a year,AI
10912,annual conference,meeting of a group held once a year,AI
10913,grade level,school grade of a cohort,AI
10914,jazz musician,person who plays jazz professionally,AI
10915,youth home,home for youths,AI
10916,youth leader,leader of a youth group,AI
10917,Art Nouveau,art style around 1900 with plant motifs and curved lines,AI
10918,young entrepreneur,entrepreneur of young age running a company,AI
10919,Kalashnikov,automatic rifle with long magazine,AI
10920,chamber music,instrumental music in small ensembles,AI
10921,pulpit,raised platform in a church for preaching,AI
10922,capital investment,investment of capital,AI
10923,Kappel,place name; name of several places,AI
10924,collision,collision of vehicles,AI
10925,chestnut avenue,avenue lined with chestnut trees,AI
10926,Caucasus,mountain region between Europe and Asia,AI
10927,caviar,cleaned and salted roe of sturgeon species,AI
10928,chalice,slender drinking vessel with high stem,AI
10929,core area,central area,AI
10930,core territory,central essential part of a country or region,AI
10931,keyboard player,person who plays the keyboard,AI
10932,child seat,seat adapted to children for safe transport,AI
10933,church asylum,asylum granted by a church community,AI
10934,nave,main longitudinal space in a church,AI
10935,church tax,tax collected for religious communities in some states,AI
10936,farce,loud nonsense,AI
10937,class teacher,teacher responsible for a class,AI
10938,tedious work,work that progresses slowly step by step,AI
10939,wisdom,ability or wisdom,AI
10940,kink,sharp bend with very small radius,AI
10941,culinary art,art and craft of preparing food,AI
10942,colonial period,period when a country had colonies,AI
10943,combined athlete,athlete in a combined event,AI
10944,communication technologies,technologies of communication,AI
10945,conference room,room available for conferences,AI
10946,economic slump,weak phase of the business cycle,AI
10947,competitive pressure,performance pressure caused by competition,AI
10948,convent,assembly or convent,AI
10949,group profit,profit made by a corporate group,AI
10950,group management,management of a corporate group,AI
10951,concert organizer,person who organizes concerts,AI
10952,headache,pain sensation in the head,AI
10953,Cossack,member of a semi nomadic people in Eastern Europe,AI
10954,cost expenditure,costs incurred,AI
10955,crane,bird family,AI
10956,hospital bed,bed for a sick person,AI
10957,nursing,measures for care and support of the sick,AI
10958,curly hair,curly hair,AI
10959,credit institution,bank or credit institution,AI
10960,district hospital,hospital of a district,AI
10961,crossroads,intersection of paths; place where paths fork,AI
10962,crisis team,group that convenes to handle emergencies,AI
10963,female Croatian,female citizen of Croatia,AI
10964,croup,diphtheria disease,AI
10965,Cuban,citizen of Cuba,AI
10966,Kuhl,family name,AI
10967,cultural sector,totality of persons institutions and activities in culture,AI
10968,cultural award,award for cultural achievement,AI
10969,female culture senator,female senator responsible for culture,AI
10970,Kurdistan,region in the Middle East,AI
10971,curiosity,something that seems very strange to the observer,AI
10972,capital gain,profit from a rate increase,AI
10973,short visit,short visit of brief duration,AI
10974,layperson,someone without specialist knowledge or training in a field,AI
10975,agriculture,agriculture especially arable farming and fruit and wine growing,AI
10976,state institution,institution of a federal state,AI
10977,state bishop,highest leader of a Protestant regional church,AI
10978,state central office,central institution of the state,AI
10979,breach of public peace,crime against public order or peace through violent riot,AI
10980,landscape conservation,care and protection of the landscape,AI
10981,state election campaign,campaigning by parties and candidates for a state election,AI
10982,laser beam,beam of light emitted by a laser,AI
10983,idling,state of a drive running without load or work,AI
10984,fief,something lent also feminine,AI
10985,teaching profession,profession requiring special training,AI
10986,apprentice training,training of apprentices,AI
10987,lightweight,weight class for boxers and weightlifters,AI
10988,performance showcase,presentation of achievements,AI
10989,editorial,news article at prominent position with an authors opinion,AI
10990,clearing,area in a forest without trees,AI
10991,love letter,very personal letter to a loved person,AI
10992,song repertoire,totality of songs of a certain type,AI
10993,linesman,person who assists the referee on out of bounds or offside decisions,AI
10994,female resident of Linz,woman who lives in Linz,AI
10995,liturgy,all proper religious service actions,AI
10996,licensee,recipient of a license,AI
10997,Locarno,city in Switzerland,AI
10998,hole punch,device that punches holes in paper at fixed spacing,AI
10999,air strike,air attack bombing with combat aircraft,AI
11000,style,form or shape something has,AI
11001,maestro,music teacher,AI
11002,malt,germinated and dried grain usually barley used for beer,AI
11003,mommy,diminutive of mama,AI
11004,delegate,delegate or representative,AI
11005,market research,study of a market through analysis of supply demand and consumption,AI
11006,market segment,subsection of a market,AI
11007,materialism,doctrine that reduces all being to matter,AI
11008,mausoleum,tomb where a persons body is kept in a special building,AI
11009,opinion researcher,person who studies public opinion,AI
11010,opinion poll,survey of selected people on a topic,AI
11011,reporting obligation,legal obligation to report information to authorities,AI
11012,Mephisto,devil figure from literature,AI
11013,metal industry,totality of companies producing metal products,AI
11014,microelectronics,technology of very small electronics,AI
11015,microcosm,realm of very small dimensions of the cosmos,AI
11016,millennium,period of one thousand years,AI
11017,billion amount,amount in billions,AI
11018,million damage,damage in the millions of a currency,AI
11019,minimum standard,norm defining a required minimum,AI
11020,ministerial post,post of a minister,AI
11021,missionary,person active in Christian mission and conversion,AI
11022,member country,country that is a member of a supranational organization,AI
11023,member state,state that is a member of an alliance,AI
11024,middle grades,grades 8 to 10 of a German Gymnasium and similar,AI
11025,modem,device for sending and receiving digital data over analog signals,AI
11026,Montreux,city in Switzerland,AI
11027,murder victim,person who was a victim of murder,AI
11028,motorboat,small motor powered watercraft,AI
11029,motorization,increase in motor vehicles,AI
11030,museum director,person at the head of a museum,AI
11031,mother country,country on which colonies depend,AI
11032,imitation,act of imitating copying a thing or person or behavior,AI
11033,replica,process of rebuilding something after a model,AI
11034,descendant,person descended directly or indirectly from others,AI
11035,namesake,person or thing with the same name as another,AI
11036,rhinoceros,large mammal in Africa and Southeast Asia with one or two horns thick skin and three toed limbs,AI
11037,national hero,person revered by a nation as significant,AI
11038,national museum,state run museum collecting and exhibiting important national art and cultural goods,AI
11039,neon,colorless tasteless odorless chemical element number 10 noble gas,AI
11040,revival,new staging of a piece,AI
11041,restructuring,new structuring,AI
11042,new contract,new obligation or contract,AI
11043,Nile,long river in Africa,AI
11044,shelter,temporary accommodation,AI
11045,upper class,layer above at least one other layer,AI
11046,operating room,room with equipment for operations,AI
11047,optician,craftsman who makes repairs and sells optical devices,AI
11048,orangery,greenhouse for exotic plants with large south facing windows,AI
11049,orchestra pit,sunken area between stage and audience where orchestra plays,AI
11050,organizational structure,system of permanent rules for task distribution and relationships,AI
11051,East Africa,region in eastern Africa,AI
11052,East Berlin,former eastern part of Berlin,AI
11053,easterner,person from eastern Germany especially former GDR,AI
11054,eastern part,part located east of the imagined center of an area,AI
11055,outsourcing,relocating tasks outside the company and using external resources,AI
11056,ovation,strong applause thunderous clapping,AI
11057,anti tank gun,anti tank cannon,AI
11058,palm garden,garden or park planted mainly with palm trees,AI
11059,wastepaper basket,small container for paper waste,AI
11060,paranoia,psychological disorder with delusions especially of persecution,AI
11061,parliamentarism,system where parliament influences government through legislation and oversight,AI
11062,parliament members,nominative plural of Parlamentsabgeordneter,AI
11063,party member,person who has joined a party,AI
11064,pitchstone,glossy volcanic rock,AI
11065,bum,unkempt man who stays on the street and is likely homeless,AI
11066,pension insurance,insurance for pensions,AI
11067,staffing level,stock of personnel,AI
11068,petition committee,committee for petitions,AI
11069,composite sketch,image of a suspect created from witness descriptions,AI
11070,photon,quantum of light massless particle mediating electromagnetic interaction,AI
11071,pils,short for Pilsner style beer a bottom fermented beer with more hops,AI
11072,pit bull,American Pit Bull Terrier dog breed,AI
11073,police action,police operation,AI
11074,police deployment,totality of police officers deployed,AI
11075,police unit,group of police operating together,AI
11076,farce,stage piece with mix ups exaggerations and coarse comedy,AI
11077,potpourri,musical piece made of known small melodies,AI
11078,preacher,person who proclaims religious truths usually clergy,AI
11079,price list,list of items or services with prices,AI
11080,bruise,injury caused by blunt force to tissue or organs,AI
11081,Pretoria,administrative capital of South Africa,AI
11082,private matter,matter not intended for the public,AI
11083,problem case,case with problems,AI
11084,production facility,facility for production,AI
11085,programmatic orientation,content orientation of a program,AI
11086,propeller,aircraft or ship drive with blades around a shaft,AI
11087,prospectus,leaflet or small magazine used as advertising,AI
11088,prosthesis,artificial replacement for missing body parts or organs,AI
11089,provocateur,person who provokes or deliberately causes unrest,AI
11090,pulp,pulp also pulp fiction in English,AI
11091,price per square meter,price required or paid per square meter of property,AI
11092,nonconformist,person who does not follow usual ways of thinking,AI
11093,quintessence,essence of a matter final result inferred from all before,AI
11094,rabbi,honorary title or form of address for a Jewish scholar and teacher,AI
11095,bike,bicycle,AI
11096,grass field,larger area with grass,AI
11097,racist,person who believes own group superior and others inferior,AI
11098,ratification,confirmation bringing into force,AI
11099,spatial planning,planned organization development and securing of larger areas,AI
11100,shipowner,transport entrepreneur at sea with own ships,AI
11101,government bench,bench of the governing faction in parliament,AI
11102,government camp,totality of supporters of a government,AI
11103,government member,member of a government,AI
11104,seat of government,place where a states government is located usually the capital,AI
11105,regime opponent,person who opposes a regime,AI
11106,regiment,medium sized military formation between brigade and battalion,AI
11107,purity,absence of dirt and grime,AI
11108,tour group,group of people traveling together,AI
11109,record low,lowest point reached so far,AI
11110,recruit,novice or newcomer in the military,AI
11111,religious community,community of those who profess a religion,AI
11112,reputation,good reputation,AI
11113,reorganization,introduction of a new system of order,AI
11114,reply,reply to a statement or thesis,AI
11115,reserve,area reserved for a certain purpose,AI
11116,reservist,trained soldier who can be called up if needed,AI
11117,restorer,person trained to carry out restoration work,AI
11118,rheumatism,general disorders of the musculoskeletal system with pain,AI
11119,rhythmics,study of rhythm,AI
11120,seal,spindle shaped predator hunting in water,AI
11121,luge rider,person who rides a sled often in competitions,AI
11122,romantic,emotional romantic person,AI
11123,roulette,game with a spinning wheel where a ball lands on numbers and colors,AI
11124,caller,person who calls,AI
11125,broadcaster,broadcaster mainly for radio or tv programs,AI
11126,hall building,building with a hall as a key element,AI
11127,female case worker,female person handling a specific subject area,AI
11128,sacrament,ritual act conveying Gods grace,AI
11129,salamander,tailed amphibian without fin folds,AI
11130,Thessaloniki,city in Greece,AI
11131,volley,simultaneous firing of several firearms,AI
11132,collection volume,volume collecting various objects or texts,AI
11133,mishmash,unordered unsystematic collection,AI
11134,rehabilitation program,program for rehabilitation,AI
11135,sarcasm,biting hurtful mockery,AI
11136,sarcophagus,coffin like object usually made of stone,AI
11137,stencil,template of rigid material to reproduce same result,AI
11138,chess game,popular board game and part of a two part chess match,AI
11139,damages lawsuit,lawsuit for compensation for damage,AI
11140,damage case,case of damage,AI
11141,conductor,transport company employee who checks tickets and collects fares,AI
11142,prankster,cheeky person who plays good natured tricks,AI
11143,eyesore,something that harms the appearance or reputation of a thing,AI
11144,display case,case with viewing window to present objects,AI
11145,shipwreck,accident at sea where ship is in distress and abandoned,AI
11146,pike perch,other name for zander freshwater predator fish,AI
11147,mess,difficult situation that seems without a way out caused by a mishap,AI
11148,simplicity,quality of being simple and not complex,AI
11149,loop,round form of a piece to be tied such as a cord or wire,AI
11150,tie,necktie worn with shirt and suit,AI
11151,last minute,final minute of a game,AI
11152,snail,elongated mollusk with tentacles and often a spiral shell that moves slowly on slime,AI
11153,plaice,flatfish used as food with an oval body,AI
11154,bogeyman,supernatural or unnatural being that frightens people,AI
11155,shouter,person who shouts loudly,AI
11156,school desk,bench desk for two students with attached writing board,AI
11157,debt counseling,counseling for debtors,AI
11158,school festival,festival at a school,AI
11159,school type,type of school in organization and curriculum,AI
11160,school community,all teachers students and parents of a school,AI
11161,school law,law that regulates the school system,AI
11162,compulsory schooling,duty imposed on students to attend school,AI
11163,school level,level in the school system,AI
11164,line of fire,direction in which a shot is fired or the imaginary line of fire,AI
11165,protection association,community for protection,AI
11166,sulfur,chemical element with atomic number 16 belonging to nonmetals,AI
11167,key topic,priority topic or main idea,AI
11168,sister party,party that has similar political goals to another party,AI
11169,decline,usually gradual dwindling,AI
11170,oath,binding commitment to something,AI
11171,jury court,court with judges and jurors for very serious crime such as murder,AI
11172,sediment,deposit or rock layer usually formed by erosion,AI
11173,sea bathing,stay in seawater,AI
11174,self control,control and steering of ones own behavior,AI
11175,self confidence,quality of being sure of ones abilities,AI
11176,security problem,problem of safety,AI
11177,settlement area,area with settlements,AI
11178,silicone,durable elastic plastic made from silicon,AI
11179,silo,tower like building for storing grain coal or cement,AI
11180,symphony orchestra,large orchestra for classical music with standardized set of instruments often strings winds and percussion,AI
11181,change of mind,change of attitude opinion or conviction,AI
11182,seating,piece of furniture or simple place to sit,AI
11183,skateboard,recreation and transport board with four wheels,AI
11184,ski pass,time pass for use of a certain ski area,AI
11185,Slovak,citizen of Slovakia,AI
11186,pay,pay for the service of a soldier,AI
11187,summer retreat,time of rest in pleasant climate and the place of relaxation,AI
11188,summer night,night in summer between dusk and dawn during the warmest season,AI
11189,summer semester,summer half of an academic year,AI
11190,special model,special model of a series,AI
11191,special show,special show,AI
11192,special status,special position in legal social or political sense,AI
11193,sun ray,single ray of the sun,AI
11194,Sunday newspaper,newspaper published on Sunday,AI
11195,souvenir,keepsake of an event person or place usually from a trip,AI
11196,welfare cuts,political term criticizing reduction of social benefits by the state,AI
11197,dramatic arc,dramatic tension curve,AI
11198,sparrow,sparrow passer a seed eating songbird especially the house sparrow,AI
11199,dining hall,room where many people can eat,AI
11200,Spessart,low mountain range in Germany,AI
11201,game master,person who directs and is responsible for the course of a game,AI
11202,spoilsport,person who deliberately disregards rules of play,AI
11203,top class,highest performance class,AI
11204,umbrella association,umbrella organization of several regional or thematic associations,AI
11205,PE teacher,teacher who teaches sports,AI
11206,language area,area where a language or dialect is used,AI
11207,district,jurisdictional district of an institution,AI
11208,female sprinter,female runner who reaches maximum speed over short distances,AI
11209,joyride,short spontaneous fun trip with a vehicle,AI
11210,squash,sport for two players where a ball is hit against a wall with rackets,AI
11211,state railway,railway operated by the state,AI
11212,graduation,subdivision of an area into several meaningful parts,AI
11213,steel group,company engaged in production processing and distribution of steel,AI
11214,set piece,specific game situation at free kicks corners and penalties,AI
11215,stability,stability or resistance,AI
11216,start phase,initial phase,AI
11217,statute,set of rules by which an institution should operate,AI
11218,dam,artificial structure to dam a body of water,AI
11219,perennial,perennial herb whose above ground shoots die at end of season,AI
11220,standing place,place to stand for people for example in transport or events,AI
11221,stonemason,craftsman who works stone,AI
11222,sterling,pound sterling currency unit of the United Kingdom,AI
11223,highlight,period when something special or desired was achieved,AI
11224,helmsman,person who steers a boat for example in rowing,AI
11225,code of criminal procedure,law on criminal proceedings,AI
11226,street worker,social worker on the street,AI
11227,Streif,surname,AI
11228,dispute,ongoing conflict between persons or institutions,AI
11229,armed forces,deployable armed forces,AI
11230,power generator,facility or company for power generation,AI
11231,power supplier,company that produces or sells electricity,AI
11232,structural reform,reform involving changes of structures,AI
11233,academic year,period of a year during which studies take place,AI
11234,silent film,film without recorded sound with dialogue shown on text panels,AI
11235,subject,sentence element about which the predicate makes a statement and agrees in number,AI
11236,subcontractor,contractor as subcontractor,AI
11237,symbolic figure,person who stands as a symbol or example for something,AI
11238,symphony musician,orchestra musician in a symphony orchestra,AI
11239,tobacco industry,industry that produces and markets cigarettes cigars and tobacco,AI
11240,tabellendritte,nominative plural of the strong declension of Tabellendritter,AI
11241,tableau,impressive scene grouping of actors,AI
11242,day clinic,medical facility without overnight stay,AI
11243,child minder,woman who looks after children of working mothers during the day,AI
11244,day to day politics,day to day political decisions,AI
11245,waist,narrowest part of the torso between ribcage and hips,AI
11246,seaweed,long firm plant growing in water forming stands,AI
11247,collective agreement,agreement between bargaining parties at end of negotiations,AI
11248,thaw,weather in which snow and ice melt,AI
11249,subarea,area that is part of something,AI
11250,partner,person who owns a share in a business enterprise,AI
11251,part time work,employment with less than full working time,AI
11252,telegram,written message transmitted by acoustic optical or electrical device,AI
11253,Texan,inhabitant of Texas,AI
11254,subject area,field to which specific topics are assigned,AI
11255,Thames,river in England,AI
11256,Tibetan,member of the Tibetan people,AI
11257,heavy blow,unexpected hard blow,AI
11258,title favorite,favorite for the title,AI
11259,rabies,highly dangerous usually fatal viral infection transmissible by animal bites,AI
11260,totalitarianism,suppression of any deviating ideas,AI
11261,transit traffic,traffic in transit,AI
11262,transport company,company whose main business is transport of goods or people,AI
11263,dream job,job matching ones wishes and ideas,AI
11264,dream world,unreal world in fantasy or dreams,AI
11265,gloom,feeling of sadness gloom or desolation,AI
11266,drum,round hollow musical instrument with a stretched skin that is struck,AI
11267,drummer,player of a drum,AI
11268,Czechoslovakia,former state in Europe,AI
11269,tumult,loud chaos and commotion,AI
11270,Tunisian,citizen of Tunisia,AI
11271,female gymnast,female athlete whose sport is gymnastics,AI
11272,tournament winner,person who wins a tournament,AI
11273,gym room,room for physical exercises in an educational institution,AI
11274,tyranny,arbitrary and oppressive rule by force,AI
11275,clockwork,mechanical inner workings of a clock,AI
11276,environmental disaster,extreme environmental damage caused by humans,AI
11277,environmental association,association working to protect the environment,AI
11278,absurdity,something completely nonsensical,AI
11279,disobedience,refusal to carry out a directive from an authority,AI
11280,base,object or layer lying underneath as protection support or leveling,AI
11281,subordination,assuming a lower rank or position,AI
11282,lesson cancellation,cancellation of lessons,AI
11283,signature collection,collecting signatures,AI
11284,Uta,female first name,AI
11285,instruction,issuing an order,AI
11286,responsibility,property of being responsible,AI
11287,verb,word expressing an action state or event,AI
11288,banishment,forced relocation by judgment or decree,AI
11289,development,construction of buildings on previously undeveloped land,AI
11290,club head,head of a club,AI
11291,club member,person who joined a club,AI
11292,constitutional reform,reform or revision of a constitution,AI
11293,traffic expert,specialist in traffic matters,AI
11294,mediation committee,committee that mediates,AI
11295,postponement,postponement of an appointment,AI
11296,intended purpose,aim or task to be fulfilled,AI
11297,forgiveness,act of forgiving or accepting an apology,AI
11298,video clip,short film,AI
11299,Vietnam War,armed conflict in Vietnam from 1945 to 1975,AI
11300,deputy prime minister,deputy head of government,AI
11301,Vogler,surname,AI
11302,executor,person who carries out a decision or will,AI
11303,precondition,condition that must be met before an action occurs,AI
11304,preliminary match,match in the preliminary phase of a competition,AI
11305,growth forecast,forecast of economic growth,AI
11306,waffle,sweet crisp baked piece,AI
11307,arsenal,considerable collection or store of weapons,AI
11308,arms depot,store for weapons,AI
11309,truthfulness,tendency or habit of telling the truth,AI
11310,wall picture,picture on a wall,AI
11311,department store,store offering goods from many branches,AI
11312,hold music,phone call on hold with music while waiting to be connected,AI
11313,waiting room,room where one waits,AI
11314,water glass,drinking glass used for water,AI
11315,ups and downs,alternating situations,AI
11316,winegrower,winemaker,AI
11317,world heritage,totality of sites significant to human or earth history recognized by UNESCO,AI
11318,advertiser,person who creates and carries out advertising,AI
11319,West German,person from West Germany,AI
11320,competitive disadvantage,disadvantage in competition,AI
11321,weather god,god of the weather,AI
11322,formation of will,forming a will of a person or group,AI
11323,wind speed,speed of the wind,AI
11324,wind turbine,facility converting wind power into electricity,AI
11325,economic expert,expert in economic matters,AI
11326,business magazine,magazine or TV show on economic topics,AI
11327,economics professor,professor who teaches economics,AI
11328,economic system,typical structure of economic life in a country,AI
11329,housing unit,single dwelling unit,AI
11330,Wolga,car brand formerly Soviet and Russian,AI
11331,vocabulary,number of words in a language,AI
11332,root,root,AI
11333,taps,beginning of night rest or end of daily activities,AI
11334,tsar,historic ruler title in Russia Bulgaria and Serbia,AI
11335,pastime,activity to pass the time,AI
11336,tent city,large collection of tents serving as homes,AI
11337,inner conflict,state of inner conflict,AI
11338,cigar,tobacco rolled in a tobacco leaf and smoked,AI
11339,tin,chemical element number 50; silver white malleable metal,AI
11340,civil court,court for civil matters,AI
11341,tub,large open barrel,AI
11342,registration office,authority for approvals,AI
11343,auditorium,room in a cinema or theater for spectators,AI
11344,duplex,building where two separate parties can live,AI
11345,second residence,residence where one does not primarily live,AI
11346,inner conflict,inner conflict with oneself,AI
11347,interwar period,period between two wars especially between the world wars,AI
11348,current status,current status in the course of something,AI
11349,Abkhazia,region in the Caucasus,AI
11350,the West,geographical area shaped by antiquity and Christianity: the West,AI
11351,holding,carrying out an event,AI
11352,treatise,thorough written treatment of a topic,AI
11353,disgust,strong aversion,AI
11354,female graduate,woman who has completed education,AI
11355,relegation candidate,team or person likely to be relegated,AI
11356,abstraction,generalization from a higher viewpoint,AI
11357,acrylic,colorless plastic used for textiles and paints,AI
11358,adaptation,adjustment,AI
11359,goodbye,word for parting,AI
11360,adjective,word describing qualities or relations,AI
11361,addressee,recipient of a message,AI
11362,affect,intense emotional arousal,AI
11363,maple,deciduous tree with lobed leaves (genus Acer),AI
11364,chord,simultaneous harmonious sounding of multiple tones,AI
11365,credit grant,granting of a credit,AI
11366,action program,program with measures,AI
11367,mountaineer,mountaineer in high mountains,AI
11368,term length,duration of an office,AI
11369,removal from office,dishonorable dismissal from office,AI
11370,cultivation area,geographically defined area where something is grown,AI
11371,bond market,market for bonds,AI
11372,answering machine,device that answers calls and lets a caller leave a message,AI
11373,anthropology,"science of humans, their nature and development",AI
11374,antibiotic,medicine that inhibits microorganisms to treat bacterial infections,AI
11375,apartment,small comfortable flat,AI
11376,workforce,collective of workers,AI
11377,employee representation,representation of employees,AI
11378,colleague,person one works with,AI
11379,labor market policy,political activities regulating the labor market,AI
11380,aria,solo vocal piece usually accompanied by an orchestra,AI
11381,Arkansas,U.S. state,AI
11382,armada,war fleet consisting of many ships,AI
11383,medical assistant,female assistant in a practice who supports a doctor,AI
11384,ashtray,dish for tobacco ash,AI
11385,asceticism,strictly abstinent way of life,AI
11386,atom,smallest particle not further divisible chemically with neutral charge,AI
11387,field of responsibility,specialist or task area where tasks must be done,AI
11388,task definition,topic or issue to deal with,AI
11389,sincerity,attitude of expressing one's opinion or knowledge correctly,AI
11390,supervisory body,committee for oversight,AI
11391,courtesy visit,visit out of politeness,AI
11392,training position,position or job offering training,AI
11393,way of expression,manner of verbal or written expression,AI
11394,compensatory payment,payment to compensate,AI
11395,excavation,place where ruins or fossils are uncovered,AI
11396,temporary help,help in a difficult situation,AI
11397,stay abroad,temporary stay abroad,AI
11398,exceptional case,case that is an exception,AI
11399,horseback outing,leaving a place on horseback,AI
11400,exclamation,"usually involuntary, short, emotion-filled utterance",AI
11401,exhibition hall,large hall where exhibitions are held,AI
11402,autodidact,person who learns independently without a teacher,AI
11403,automatic mode,self-regulating mode of operation,AI
11404,brick,single ceramic building element,AI
11405,bather,person staying at a bathing resort or facility,AI
11406,railway track,track of a railway,AI
11407,banja,"public Russian bath, usually a steam bath",AI
11408,female bank employee,nominative singular of the weak declension of Bankangestellter,AI
11409,bank clerk,commercial banking profession,AI
11410,barrack,primitive one- or two-story building built by simple methods,AI
11411,tinkerer,person who does small craft or technical work as a hobby,AI
11412,construction boom,phase of increased construction activity,AI
11413,building department head,official with decision authority in a building authority,AI
11414,construction company,construction firm,AI
11415,construction cycle,business cycle in construction,AI
11416,construction machine,machine used in construction,AI
11417,building plot,plot intended for new construction,AI
11418,building senator,senator responsible for construction,AI
11419,objection,criticism due to a defect,AI
11420,state of mind,felt condition someone is in,AI
11421,time limit,time frame within which something applies or occurs,AI
11422,belles-lettres,literary genre of non-scientific literature,AI
11423,gasoline price,price of gasoline on the world market,AI
11424,Berber,communities in North Africa,AI
11425,career soldier,person serving indefinitely as a soldier,AI
11426,sedative,drug that calms or reduces anxiety,AI
11427,beast,wild and dangerous animal or fictional creature,AI
11428,busyness,"active, busy activity",AI
11429,day of repentance,church day of repentance and prayer,AI
11430,junk,"useless, old, worthless things",AI
11431,motive,basis for a decision to act or refrain,AI
11432,male admirer,male person who greatly admires someone,AI
11433,district leader,head of a district,AI
11434,reference point,point of reference,AI
11435,balance-sheet press conference,press conference on the balance sheet,AI
11436,biochemistry,science of chemical composition and reactions in living organisms,AI
11437,bitterness,quality of being bitter or embittered,AI
11438,supplicant,person who presents a request,AI
11439,bluff,behavior meant to deceive about facts,AI
11440,blood trail,blood that allows conclusions about an event,AI
11441,candy,sweet that melts in the mouth,AI
11442,messenger substance,chemical that transmits information in or between organisms,AI
11443,Breton,inhabitant of Brittany,AI
11444,brie,French soft cheese with white mold,AI
11445,Britain,island of Great Britain; historical name,AI
11446,book form,object with the appearance of a book,AI
11447,book market,economic sector for trading books,AI
11448,Federal Ministry of Labour,federal ministry for labor,AI
11449,federal railway,state-operated railway,AI
11450,federal monuments office,authority for monument protection,AI
11451,federal spokesperson,spokesperson at federal level,AI
11452,Federal Convention,constitutional body that elects the federal president,AI
11453,Bundeswehr soldier,soldier of the Bundeswehr,AI
11454,bungalow,"single-story house, often with a flat roof",AI
11455,Burma,another name for Myanmar,AI
11456,flounder,North German name for the flounder,AI
11457,bye,farewell greeting,AI
11458,convertible,passenger car with a fold-down roof,AI
11459,charter,lease of an aircraft or ship,AI
11460,chemical industry,companies producing chemical products,AI
11461,cholera,bacterial intestinal infection,AI
11462,choral chant,"monophonic church chant, known as Gregorian chant",AI
11463,choral singing,singing in a choir,AI
11464,computer program,sequence of instructions for a computer,AI
11465,computer system,system of computers,AI
11466,coupon,detachable part of a voucher,AI
11467,season ticket,ticket granting access over a longer period,AI
11468,dean,head of a church district,AI
11469,decor,decoration on a building or object,AI
11470,decentralization,shift away from the center,AI
11471,department official,official responsible for a division,AI
11472,diagram,graphic representation of a quantified issue,AI
11473,nominative plural of Dienstpost,nominative plural of Dienstpost,AI
11474,diploma thesis,thesis written as part of a diploma program,AI
11475,documentary filmmaker,person who makes documentaries,AI
